CODE_MdlR,CODE_RTV_2021,Coord X,Coord Y,Taux de recouvrement de la ripisylve (%)
RTV028,RTV_BOM_LEM_0388,2525323,1150240,100
BOI020,RTV_BLA_BOM_0397,2524895,1150320,100
BOI015,RTV_BOM_LEM_0372,2526344,1149431,100
BOI019,RTV_BOM_LEM_0379,2526007,1149860,75
BOI018,RTV_BOM_LEM_0383,2525635,1149957,80
BOI021,RTV_BOM_LEM_0392,2525010,1150251,100
BOI013,RTV_BOM_LEM_0406,2524447,1149734,100
BOI012,RTV_BOM_LEM_0421,2523618,1149689,100
BOI011,RTV_BOM_LEM_0440,2522970,1150411,90
RTV008,RTV_BOM_LEM_0459,2522299,1151035,70
BOI009,RTV_BOM_LEM_0484,2521553,1151594,65
RTV045,RTV_BOM_LEM_0581,2519932,1153004,85
BOI006,RTV_BOM_LEM_0641,2519417,1153930,90
BOI005,RTV_BOM_LEM_0660,2519755,1154390,100
BOI001,RTV_BOM_LEM_0662,2520022,1155807,25
RTV021,RTV_BOM_LEM_0663,2519927,1155040,55
BOI017,RTV_BTM_BOM_0583,2520218,1152931,90
BOI008,RTV_BTM_BOM_0535,2520528,1152013,0
BOI016,RTV_BTM_BOM_0654,2519171,1153856,0

