epoch,month,error
1,10,11.895847
1,11,10.807573
1,11,10.77598
1,9,16.34623
1,9,12.304284
1,9,15.755163
1,10,9.935121
1,9,15.161935
1,10,12.834604
1,11,13.511428
1,11,12.09671
1,10,14.256611
1,9,16.142231
1,10,10.81406
1,10,12.631667
1,10,20.10736
1,10,14.171314
1,10,15.468531
1,10,9.995781
1,11,14.238914
1,11,8.917817
1,9,14.239427
1,11,7.559758
1,10,20.208359
1,11,7.86056
1,11,9.274213
1,10,11.413745
1,9,16.883707
1,11,8.539199
1,10,11.813738
1,9,16.057566
1,11,15.518978
1,11,13.464449
1,10,17.651093
1,11,10.145873
1,10,12.120839
1,10,15.19633
1,9,20.244379
1,10,9.5620365
1,10,9.238575
1,9,13.65321
1,11,11.053911
1,11,11.119457
1,9,20.716286
1,10,11.849949
1,11,12.677471
1,9,13.792036
1,9,13.510928
1,10,15.194309
1,9,12.967768
1,10,10.992383
1,10,14.056342
1,10,14.559097
1,9,15.677918
1,9,12.773519
1,10,10.800418
1,10,15.774795
1,9,21.487915
1,10,20.052528
1,10,14.143235
1,10,12.628244
1,11,12.177294
1,11,10.862771
1,10,21.837313
1,9,16.08016
1,9,19.17971
1,9,17.750463
1,9,13.715341
1,5,9.717397
1,5,8.674549
1,5,9.702145
1,5,13.202124
1,5,10.752133
1,5,11.458315
1,11,8.014294
1,5,13.308292
1,5,10.601622
1,11,6.593439
1,11,6.437474
1,11,5.987999
1,11,7.907916
1,5,10.2144375
1,11,7.2964187
1,4,9.536493
1,5,12.100519
1,4,9.559169
1,11,8.121198
1,11,6.0250673
1,5,9.922537
1,4,8.879288
1,11,8.344161
1,5,10.247216
1,4,10.52387
1,5,10.580599
1,4,9.461842
1,5,8.470778
1,5,14.239897
1,11,5.950654
1,5,12.675112
1,11,8.995392
1,4,11.135261
1,11,5.093514
1,11,8.107065
1,4,7.977287
1,11,6.3111
1,4,14.306118
1,4,13.702009
1,4,13.203836
1,11,7.030013
1,4,13.746486
1,4,10.438415
1,11,9.331009
1,4,9.101225
1,5,10.424503
1,5,10.054152
1,5,10.656926
1,11,9.106202
1,11,7.49407
1,5,13.268925
1,11,7.785518
1,11,9.510825
1,4,7.5785604
1,4,10.983142
1,11,8.211415
1,4,8.145903
1,4,8.834405
1,5,12.908031
1,4,8.802169
1,5,8.386505
1,11,5.03801
1,5,12.907136
1,4,11.213682
1,4,8.56175
1,5,11.229072
1,5,8.580865
1,11,7.686724
1,11,8.433312
1,11,7.3008065
1,5,12.037577
1,8,17.134521
1,8,16.300228
1,6,13.24227
1,8,9.343296
1,8,18.516672
1,6,12.556861
1,8,18.516075
1,7,16.240154
1,8,14.477874
1,7,15.196645
1,7,13.656329
1,6,12.5234785
1,7,16.729963
1,8,15.1530075
1,7,14.304406
1,7,18.816992
1,6,17.472544
1,7,18.742268
1,6,13.020924
1,8,16.579378
1,8,15.285087
1,7,12.628999
1,6,8.750367
1,7,18.531216
1,6,14.066369
1,8,22.383007
1,6,18.767126
1,7,13.699721
1,6,19.877283
1,8,18.151857
1,6,11.934815
1,6,16.16895
1,7,20.157444
1,6,12.872614
1,7,16.433542
1,8,14.967592
1,7,17.1185
1,7,19.381466
1,8,15.722845
1,7,15.78647
1,8,24.343197
1,8,16.359945
1,7,12.84561
1,8,18.452995
