epoch,month,error
1,11,7.945329
1,11,4.3276
1,10,13.35174
1,10,12.05464
1,10,15.588281
1,11,5.318797
1,11,5.5096583
1,11,4.9177876
1,10,11.076985
1,9,12.385363
1,11,4.7531962
1,10,7.647996
1,10,15.125
1,9,15.19691
1,11,9.877903
1,10,13.326163
1,10,10.10597
1,10,14.364061
1,11,8.45587
1,10,14.091468
1,11,5.042597
1,9,17.772926
1,10,7.488876
1,10,12.7534075
1,11,9.452838
1,9,14.586166
1,9,11.0708065
1,10,9.091043
1,11,10.055856
1,11,9.117497
1,10,10.670563
1,10,12.45875
1,9,13.073165
1,10,14.898098
1,9,11.919528
1,11,8.116801
1,9,17.792034
1,10,15.584381
1,11,8.10638
1,10,10.003932
1,10,12.837642
1,9,13.203281
1,9,16.921188
1,9,18.438524
1,5,7.285102
1,5,12.409298
1,5,10.2656
1,4,8.448897
1,4,6.964812
1,4,7.091979
1,5,8.981695
1,11,5.359696
1,5,9.6728945
1,4,9.397209
1,5,12.738946
1,11,2.943169
1,4,8.312659
1,4,8.628622
1,11,5.0843344
1,4,8.350764
1,11,5.4643946
1,11,5.3515644
1,4,6.8530836
1,5,11.750937
1,4,6.856165
1,11,5.0811596
1,5,11.698617
1,5,10.641934
1,4,6.7798295
1,5,8.995527
1,11,5.8668
1,5,12.188946
1,11,7.088664
1,11,6.8217382
1,4,6.3983808
1,5,12.371639
1,5,12.59137
1,5,13.661748
1,4,10.377151
1,4,8.545754
1,5,14.308535
1,11,5.1884093
1,5,13.990037
1,5,8.255135
1,5,11.325524
1,5,9.986482
1,5,10.91308
1,5,8.705259
1,5,10.731517
1,11,4.4701037
1,11,8.672531
1,4,7.526979
1,5,12.201509
1,5,10.696884
1,5,15.176395
1,5,8.55457
1,4,6.772378
1,4,9.093556
1,5,10.635152
1,4,8.716377
1,5,14.579974
1,5,17.207155
1,11,5.6029487
1,4,4.6117563
1,5,13.705074
1,4,7.9069853
1,11,7.6116023
1,4,8.17256
1,5,13.366501
1,4,7.833692
1,11,6.542471
1,5,8.1724825
1,4,9.811476
1,11,8.605807
1,6,13.04356
1,8,11.9783745
1,8,15.28814
1,8,17.961311
1,8,16.840506
1,6,16.723286
1,8,12.35539
1,6,12.700871
1,8,21.810757
1,8,20.880213
1,6,11.629002
1,6,12.273585
1,7,16.613853
1,7,17.469648
1,9,15.206831
1,9,8.783318
1,11,8.216116
1,9,12.981976
1,11,8.806929
1,9,17.025347
1,10,7.7189984
1,9,11.131616
1,9,13.461358
1,10,10.380691
1,9,12.399597
1,10,6.8367257
1,11,5.973719
1,10,8.918107
1,11,8.672523
1,10,12.128527
1,11,9.802166
1,10,7.711856
1,11,4.4341793
1,9,13.366262
1,11,8.60989
1,10,10.049297
1,10,13.285719
1,10,11.5369425
1,11,7.5510077
1,10,6.658147
1,10,8.047225
1,10,13.283342
1,9,16.83779
1,10,9.042053
1,9,14.519906
1,10,8.514944
1,9,10.907961
1,9,10.880526
1,11,5.603142
1,9,10.51291
1,11,6.6470776
1,9,15.368632
1,10,10.209895
1,9,17.003798
1,10,7.2243366
1,9,9.810371
1,10,9.144508
1,9,12.161983
1,11,5.897336
1,10,7.973038
1,11,7.2541203
1,10,10.942825
1,10,17.57818
1,11,4.374071
1,11,7.3437667
1,9,14.948365
1,10,12.448748
1,9,14.044952
1,9,9.711239
1,9,15.948439
1,9,11.330105
1,4,6.797804
1,5,6.5993395
1,5,7.3718605
1,4,6.8998365
1,5,3.7764616
1,11,4.6236224
1,4,8.308104
1,4,5.087363
1,5,10.28929
1,4,6.065981
1,5,8.46015
1,4,5.8352385
1,4,5.3181753
1,11,2.0217261
1,11,4.0778465
1,5,5.124303
1,11,2.9735327
1,4,7.5063744
1,4,6.6481204
1,11,3.8525727
1,4,6.596487
1,5,8.168998
1,11,4.474063
1,11,0.84800667
1,11,4.7033257
1,5,12.129233
1,5,9.327051
