epoch,month,error
1,9,18.492762
1,9,13.005517
1,9,17.865425
1,9,12.279884
1,10,12.868502
1,11,11.913632
1,10,10.275728
1,9,19.787233
1,9,13.702767
1,11,12.243156
1,10,13.607292
1,11,10.711392
1,11,11.131266
1,9,15.59209
1,10,16.543522
1,10,12.175962
1,9,17.330175
1,10,10.454358
1,11,9.327261
1,11,13.787639
1,11,8.893618
1,11,9.565292
1,11,8.21496
1,11,11.851473
1,11,9.491817
1,10,11.87645
1,11,7.7665725
1,10,13.4123335
1,11,11.650212
1,10,10.794169
1,10,10.996564
1,10,16.65248
1,10,16.03026
1,11,10.8018265
1,9,16.389208
1,10,16.023668
1,9,20.284203
1,9,19.172762
1,10,9.313094
1,9,15.018305
1,9,14.854791
1,9,19.102255
1,11,10.70197
1,11,9.327184
1,10,12.708739
1,9,14.803491
1,9,17.36428
1,9,16.230927
1,10,9.506101
1,9,14.474495
1,9,13.85304
1,10,12.172328
1,11,9.059883
1,9,13.822172
1,10,12.9482355
1,9,20.516754
1,11,10.628702
1,10,14.394515
1,11,11.809903
1,10,14.636704
1,9,17.134716
1,10,19.744091
1,11,7.9078693
1,11,9.159849
1,9,18.020569
1,9,12.904253
1,9,16.593586
1,9,14.441798
1,4,8.06132
1,4,11.648464
1,5,12.440844
1,5,7.5161543
1,5,10.476932
1,5,9.434763
1,4,12.826614
1,5,12.843179
1,5,9.437931
1,11,5.8506503
1,5,12.288666
1,5,12.64896
1,4,9.370021
1,11,5.490713
1,4,10.422893
1,5,11.098811
1,11,6.9962564
1,4,10.539672
1,4,10.698577
1,5,12.767201
1,11,8.801982
1,4,9.678617
1,11,4.7604423
1,5,13.229962
1,5,11.680062
1,11,7.527798
1,4,9.194352
1,5,10.911427
1,5,14.370126
1,5,13.709776
1,4,12.37979
1,11,4.5575285
1,11,9.59312
1,11,5.7771564
1,11,8.258781
1,11,6.7181873
1,4,8.191975
1,4,12.236845
1,4,14.246052
1,4,8.592722
1,11,9.374465
1,11,7.518815
1,4,10.004903
1,5,10.850022
1,4,8.665931
1,11,7.332394
1,5,11.45769
1,11,8.848241
1,5,11.368434
1,4,9.764034
1,4,12.12263
1,11,7.415843
1,5,14.49791
1,5,15.24121
1,11,8.019752
1,4,7.677878
1,5,17.713242
1,5,11.566259
1,4,9.193335
1,11,7.298774
1,5,9.507342
1,5,11.779854
1,5,12.920865
1,11,8.650133
1,11,9.106031
1,5,12.137538
1,11,7.3477592
1,4,8.376618
1,4,10.98643
1,11,9.020493
1,11,8.024409
1,7,17.729805
1,6,18.661055
1,8,10.819107
1,8,17.695347
1,8,17.548368
1,7,14.787087
1,7,15.831855
1,6,12.197111
