epoch,month,error
1,9,17.711214
1,9,14.877433
1,9,15.192505
1,9,12.449845
1,10,12.675644
1,11,13.43306
1,10,9.726444
1,9,23.694147
1,9,14.90095
1,11,14.058496
1,10,11.547662
1,11,11.089984
1,11,10.5439415
1,9,16.744112
1,10,16.781628
1,10,12.1747675
1,9,20.321602
1,10,10.99689
1,11,9.659254
1,11,13.812202
1,11,10.148155
1,11,9.150695
1,11,7.9166455
1,11,21.33421
1,11,12.193135
1,10,13.001774
1,11,9.308906
1,10,13.866359
1,11,13.520288
1,10,11.954614
1,10,11.148839
1,10,15.450359
1,10,16.559967
1,11,16.072947
1,9,16.220139
1,10,16.445896
1,9,20.82925
1,9,20.746065
1,10,11.902323
1,9,13.916606
1,9,16.450224
1,9,18.765043
1,11,9.466295
1,11,12.15896
1,10,11.319299
1,9,14.236287
1,9,20.178932
1,9,15.751421
1,10,12.438892
1,9,11.829886
1,9,12.451642
1,10,10.678307
1,11,7.7517176
1,9,13.674337
1,10,15.0595
1,9,20.085394
1,11,10.607847
1,10,14.790143
1,11,10.506516
1,10,12.521209
1,9,19.363396
1,10,23.581404
1,11,8.93899
1,11,7.104919
1,9,19.265646
1,9,14.1500435
1,9,15.5558815
1,9,13.486969
1,4,6.1748047
1,4,10.095316
1,5,14.42581
1,5,11.794719
1,5,8.778919
1,5,6.4939737
1,4,11.252938
1,5,14.022866
1,5,12.241555
1,11,6.7828183
1,5,11.116201
1,5,13.266251
1,4,10.537177
1,11,6.3219876
1,4,11.462559
1,5,15.372873
1,11,12.41393
1,4,7.942809
1,4,10.83996
1,5,12.285581
1,11,7.06752
1,4,7.4280763
1,11,8.047121
1,5,12.716861
1,5,10.238658
1,11,5.950803
1,4,10.457962
1,5,9.329223
1,5,15.944434
1,5,16.891802
1,4,10.459147
1,11,5.1290045
1,11,8.064988
1,11,7.141286
1,11,6.5805883
1,11,7.899482
1,4,12.257926
1,4,11.19008
1,4,14.014527
1,4,11.346062
1,11,7.088044
1,11,6.5103307
1,4,13.936357
1,5,12.082643
1,4,8.706265
1,11,6.6613703
1,5,11.676254
1,11,9.918996
1,5,10.450468
1,4,9.339161
1,4,11.086626
1,11,8.120437
1,5,15.212072
1,5,14.249806
1,11,8.828525
1,4,11.135378
1,5,16.486559
1,5,15.197329
1,4,9.553186
1,11,7.0050144
1,5,1.509985
1,5,10.91199
1,5,10.842661
1,11,6.099517
1,11,7.9192967
1,5,8.112026
1,11,0.27459383
1,4,5.265073
1,4,7.8400307
1,11,2.6647568
1,11,13.116143
1,7,15.392529
1,6,3.9946117
1,8,7.4198303
1,8,13.201887
1,8,8.470654
1,7,9.544989
1,7,12.546184
1,6,7.621052
1,8,14.49739
1,6,11.333372
1,6,4.5189624
1,7,5.3304234
1,7,13.329316
1,8,8.199268
1,8,2.5959606
1,6,4.1394386
1,7,10.413764
1,7,18.246103
1,7,13.17943
1,6,5.918104
1,8,18.199862
1,7,12.1894865
1,8,2.2125072
1,6,3.6803398
1,6,11.26418
1,6,13.814614
1,6,15.201301
1,7,18.160818
1,6,14.632584
1,8,10.756331
1,6,7.5758905
1,6,9.820211
1,7,11.410179
1,8,10.827589
1,6,12.393674
1,8,15.008379
1,8,13.667545
1,8,9.595743
1,7,1.2927608
1,8,13.30851
1,7,12.250874
1,7,18.754765
1,6,9.153466
1,6,15.357915
1,7,11.399487
1,7,16.333548
1,7,15.40495
1,6,7.2388754
1,7,11.968775
1,6,6.35708
1,8,10.001673
1,6,11.494023
1,6,13.634821
1,8,1.9334126
1,8,19.762306
1,8,14.170563
1,8,14.656148
1,6,13.596636
1,7,10.806148
1,8,8.889879
1,7,6.3722105
1,7,5.809353
1,7,12.090586
1,6,15.275263
1,6,15.872886
1,8,14.696191
1,8,19.049067
1,7,0.36081696
1,7,4.942978
1,8,15.301978
1,7,5.857577
1,8,16.048595
1,6,13.185141
1,8,12.484151
1,8,17.583153
1,8,12.10611
1,12,1.7150965
1,2,3.458374
1,12,3.677127
1,2,0.92887014
1,12,2.0803106
1,2,9.796654
1,1,3.169251
1,12,1.6882162
1,12,7.0629835
1,12,2.0080338
1,12,5.998465
1,12,0.65292215
1,1,15.2202635
1,2,5.9154663
1,2,2.5598607
1,2,2.4528115
1,1,5.32279
1,2,8.447694
1,2,5.5628014
1,2,0.38329554
1,2,0.5290909
1,12,13.614
1,2,6.284985
1,2,4.6289988
1,12,2.2788384
1,12,1.2451901
1,1,3.59744
1,2,5.601738
1,1,6.5711937
1,12,5.4966526
1,2,0.9966202
1,2,1.9277402
1,1,6.8009896
1,12,3.1212292
1,12,4.1415453
1,2,4.8212013
1,2,3.9947371
1,1,2.42431
1,2,2.4616256
1,12,2.5190027
1,1,3.8500934
1,1,11.149248
1,12,0.6185627
1,1,7.429659
1,2,4.0497484
1,2,8.859974
1,1,7.296569
1,12,11.088854
1,12,4.954686
1,12,3.6515865
1,12,34.343414
1,2,8.486865
1,2,2.3766963
1,1,1.8086748
1,1,1.2159877
1,2,2.8288057
1,1,1.9161782
1,1,2.3039513
