epoch,month,error
1,10,11.382736
1,11,9.755046
1,11,9.657787
1,9,15.30906
1,9,11.526657
1,9,16.261992
1,10,10.105787
1,9,15.391715
1,10,12.378948
1,11,11.867171
1,11,13.322466
1,10,13.447721
1,9,16.497528
1,10,9.665401
1,10,11.738867
1,10,15.51301
1,10,12.350927
1,10,16.590136
1,10,9.401554
1,11,13.435002
1,11,7.118685
1,9,16.597084
1,11,7.399071
1,10,16.64575
1,11,7.2277827
1,11,10.23307
1,10,11.120712
1,9,17.13226
1,11,8.308533
1,10,11.084421
1,9,17.76367
1,11,12.7930975
1,11,9.95092
1,10,16.775124
1,11,9.993352
1,10,11.246912
1,10,14.488728
1,9,18.941353
1,10,9.413465
1,10,11.92905
1,9,13.139427
1,11,10.3550625
1,11,9.760797
1,9,18.031948
1,10,12.225697
1,11,11.9368
1,9,13.842368
1,9,11.465652
1,10,10.166529
1,9,11.878918
1,10,10.897714
1,10,13.971171
1,10,13.597958
1,9,15.0945215
1,9,12.587922
1,10,10.451768
1,10,14.587727
1,9,19.933208
1,10,15.836218
1,10,14.507497
1,10,12.862408
1,11,10.59113
1,11,9.727311
1,10,18.054005
1,9,16.308899
1,9,18.6668
1,9,17.49909
1,9,12.709882
1,5,8.868483
1,5,9.722435
1,5,10.504296
1,5,11.536848
1,5,7.009014
1,5,10.4441805
1,11,8.200157
1,5,13.114109
1,5,9.018401
1,11,4.9392796
1,11,5.697445
1,11,2.9635346
1,11,7.32385
1,5,9.493077
1,11,7.243638
1,4,8.135642
1,5,10.866512
1,4,9.722991
1,11,7.246351
1,11,6.431336
1,5,9.190111
1,4,9.938496
1,11,5.201138
1,5,10.210634
1,4,10.841584
1,5,10.364509
1,4,8.627223
1,5,9.1483135
1,5,12.644221
1,11,5.8190784
1,5,12.357237
1,11,8.70431
1,4,11.309942
1,11,7.0137568
1,11,6.9862065
1,4,8.918711
1,11,7.0119753
1,4,10.946942
1,4,12.6532345
1,4,10.802168
1,11,9.178935
1,4,13.552985
1,4,10.681262
1,11,7.0379744
1,4,8.719905
1,5,9.804328
1,5,10.770057
1,5,9.389217
1,11,7.9978447
1,11,5.6535335
1,5,12.799133
1,11,7.5208745
1,11,9.580589
1,4,8.217075
1,4,12.180503
1,11,7.2682443
1,4,8.270401
1,4,9.297439
1,5,12.4332
1,4,8.105613
1,5,9.273228
1,11,4.415678
1,5,10.863752
1,4,9.385442
1,4,6.235605
1,5,9.686627
1,5,7.432098
1,11,5.301049
1,11,6.4000297
1,11,8.137516
1,5,12.3270445
1,8,15.601992
1,8,12.870871
1,6,12.326029
1,8,10.561726
1,8,15.501908
1,6,9.366401
1,8,15.411117
1,7,8.171533
1,8,11.328212
1,7,15.309742
1,7,11.520702
1,6,10.108141
1,7,12.36017
1,8,14.70458
1,7,11.862671
1,7,18.203716
1,6,15.232665
1,7,19.230803
1,6,11.66958
1,8,13.709372
1,8,7.865631
1,7,12.296439
1,6,7.7101364
1,7,16.325514
1,6,10.642344
1,8,20.148521
1,6,15.530432
1,7,10.242432
1,6,14.697189
1,8,17.493422
1,6,7.8414307
1,6,13.5701
1,7,17.25721
1,6,11.164864
1,7,13.074448
1,8,11.338762
1,7,13.6794815
1,7,16.471064
1,8,11.712294
1,7,10.717618
1,8,19.929132
1,8,12.990651
1,7,9.5227785
1,8,15.10943
1,8,14.526422
1,6,8.316452
1,7,15.129053
1,7,15.630853
1,6,9.980604
1,7,16.600002
1,8,13.033765
1,8,9.026484
1,7,11.691935
1,8,10.120677
1,6,15.514445
1,8,16.637278
1,7,19.72026
1,6,16.72054
1,7,18.352383
1,8,9.195354
1,6,16.44955
1,8,20.92413
1,6,14.674996
1,6,16.775925
1,6,13.109558
1,7,17.335608
1,7,17.903528
1,8,18.92947
1,7,18.814875
1,6,11.35265
1,8,13.025246
1,8,15.5263195
1,8,15.268361
1,8,17.768784
1,8,19.060333
1,6,14.504458
1,12,0.28295362
1,1,2.262174
1,2,4.9756613
1,2,2.9842281
1,12,3.0291533
1,12,3.281454
1,12,5.8151917
1,1,1.9780335
1,2,0.7300658
1,2,1.113091
1,1,1.0275197
1,12,3.7269719
1,1,1.2086926
1,12,4.634671
1,1,5.3850374
1,2,3.6738276
1,1,4.2123175
1,2,5.4540462
1,1,0.70559716
1,1,3.8598077
1,2,4.613616
1,2,4.8017445
1,12,3.5836315
1,12,0.64508104
1,2,4.02724
1,2,4.7048197
1,2,1.2058692
1,2,4.885303
1,12,3.8085938
1,12,4.4207187
1,1,3.430799
1,2,4.3315506
1,1,3.486654
