epoch,month,error
1,10,7.0085826
1,9,11.231077
1,9,17.281923
1,10,11.14355
1,9,9.813044
1,11,10.267852
1,9,20.037174
1,9,13.294247
1,10,8.880384
1,10,8.329831
1,11,7.7986507
1,9,14.853848
1,10,11.720401
1,10,11.741295
1,11,9.907673
1,9,14.89723
1,9,15.127021
1,11,7.5612507
1,11,7.2964544
1,10,7.4220467
1,10,11.144819
1,10,12.312303
1,11,6.791625
1,11,8.186491
1,11,7.087365
1,11,5.1732903
1,10,15.5408125
1,9,14.269634
1,9,17.163269
1,10,9.678248
1,10,14.383467
1,11,4.153567
1,10,10.995419
1,10,12.011614
1,11,6.202024
1,9,15.533409
1,10,9.297317
1,10,14.653796
1,10,5.5064898
1,11,8.841255
1,11,9.088312
1,11,8.031534
1,10,11.570615
1,9,13.775228
1,9,14.127436
1,9,12.327678
1,9,11.766462
1,9,14.904557
1,10,11.695238
1,9,17.192038
1,9,19.213465
1,10,11.476754
1,10,7.4011602
1,9,13.294605
1,10,13.022627
1,9,18.596666
1,11,9.0402155
1,11,7.6417294
1,10,12.406088
1,10,10.800126
1,10,17.824457
1,11,7.4079394
1,11,8.963805
1,10,13.605207
1,9,14.935754
1,9,14.985669
1,9,11.658667
1,9,13.768236
1,5,11.696394
1,5,5.9076815
1,4,7.3419456
1,5,8.696028
1,4,10.068963
1,5,11.830192
1,4,11.581172
1,11,7.455515
1,4,8.208562
1,4,9.432377
1,11,0.86092854
1,4,6.529099
1,4,8.805163
1,11,3.5926762
1,5,12.097056
1,4,9.531797
1,5,11.50729
1,5,8.713883
1,4,10.718528
1,5,11.569444
1,5,12.248303
1,4,10.739291
1,11,6.3315077
1,5,7.2946424
1,5,12.589825
1,5,7.9244885
1,5,8.9511385
1,4,7.298624
1,11,1.2357597
1,11,9.487369
1,4,7.7613363
1,11,6.003057
1,11,5.2502923
1,5,13.551212
1,5,11.069916
1,4,8.815486
1,4,6.793334
1,5,13.45081
1,4,7.1147747
1,11,3.9997551
1,4,2.9696856
1,4,10.800752
1,4,11.979077
1,4,9.463413
1,11,3.1158004
1,5,9.130696
1,5,9.480708
1,4,8.058881
1,4,10.047629
1,11,6.3629465
1,5,15.316016
1,5,15.22263
1,5,13.759117
1,4,7.50597
1,11,6.8475113
1,5,13.8278885
1,5,10.312723
1,5,8.850518
1,4,7.886385
1,5,12.884871
1,5,9.002684
1,4,7.2032614
1,4,5.714171
1,4,10.311017
1,11,6.6625323
1,11,6.4427056
1,4,9.70344
1,11,4.5412216
1,5,11.165592
1,11,8.68416
1,4,6.5162926
1,8,16.33286
1,8,16.665476
1,7,16.391012
1,8,16.09111
1,6,14.849361
1,8,10.839013
1,6,7.8645396
1,6,16.807354
1,6,9.998683
1,7,13.180629
1,7,13.748569
1,7,20.290943
1,8,16.537594
1,8,19.10915
1,7,10.620114
1,7,15.8058605
1,7,16.34313
1,6,6.6922884
1,8,17.14188
1,8,17.11161
1,8,16.907503
1,6,12.746126
1,7,17.716501
1,8,11.746866
1,6,17.768818
1,6,16.632114
1,8,20.933603
1,8,19.590872
1,8,10.961359
1,6,13.181572
1,7,11.016984
1,7,19.355373
1,8,18.3217
1,8,7.877432
1,6,11.879499
1,7,18.88428
1,8,10.955496
1,7,21.64664
1,7,15.455652
1,6,14.693638
1,8,16.797419
1,7,15.894067
1,8,16.875889
1,8,15.529768
1,8,19.68891
1,6,13.175081
1,7,17.046076
1,7,17.908148
1,6,8.668562
1,7,20.35386
1,8,9.331698
1,6,13.787584
1,8,17.45756
1,8,13.757841
1,6,14.771979
1,7,15.277612
1,7,18.022924
1,7,11.675766
1,7,12.286414
1,7,19.555235
1,8,23.668966
1,7,18.84935
1,7,18.972965
1,6,16.509317
1,8,17.819365
1,7,16.719423
1,6,16.951475
1,6,11.312433
1,6,16.328857
1,6,13.717734
1,8,17.598856
1,7,16.763052
1,8,21.581558
1,8,15.095221
1,8,17.466915
1,7,9.145695
1,12,0.114860535
1,2,5.157783
1,12,2.5841656
1,2,4.912266
1,12,8.002225
1,12,7.351744
1,12,7.78015
1,1,5.9060097
1,2,1.1035066
1,12,2.962481
1,12,4.129697
1,1,2.3333735
1,12,7.757386
1,2,5.433712
1,1,5.2844806
1,12,3.1448011
1,2,3.108274
1,1,3.4065802
1,2,5.566437
1,2,8.596538
1,2,5.325367
1,2,3.9087834
1,1,0.37647521
1,2,5.1896358
1,2,6.1118846
1,12,4.60581
1,2,1.9843899
1,12,8.418235
1,12,4.0250716
1,2,3.1346183
1,1,4.373628
1,1,8.831957
1,2,4.342844
1,2,3.354226
1,12,8.060063
1,1,0.8599863
1,12,4.2771926
1,2,1.8093278
1,2,5.858295
1,2,4.4472127
1,1,2.129353
1,12,3.394762
1,2,7.0022974
1,1,1.4670795
1,1,4.4668756
1,1,4.7532854
1,12,5.15811
1,12,1.9980197
1,12,6.836484
1,1,5.6071253
1,2,4.816185
1,1,4.444188
1,2,4.352428
1,2,6.041636
1,2,7.862574
1,12,0.80746454
1,1,2.5394492
1,1,5.9899216
1,1,3.1142018
1,2,4.7628093
1,1,1.9388075
1,1,5.2789736
1,2,3.0501726
1,1,7.3246717
1,10,9.620934
1,11,7.2427473
1,11,4.630749
1,9,6.792037
1,10,2.961678
1,9,6.7503223
1,11,4.6064997
1,11,7.388282
1,9,9.339881
1,9,4.1702785
1,10,5.678486
1,11,5.7128916
1,10,4.6311445
1,10,3.0591722
1,10,6.0926538
1,11,5.81963
1,9,11.979628
1,10,6.7574444
1,11,3.0969539
1,11,2.7395291
1,9,6.193228
1,9,7.451586
1,10,7.4428563
1,9,8.665979
1,10,5.1429744
1,10,2.3280637
1,9,3.2033815
1,10,9.281026
1,11,3.105614
1,10,13.087903
1,11,5.5143876
1,11,0.1252942
1,10,3.3701413
1,10,2.9721632
1,9,7.5779195
1,10,7.0334873
1,11,0.71462625
1,9,8.559517
1,11,4.213014
1,9,7.580316
1,9,4.3415403
1,11,4.825962
1,9,7.9660597
1,9,7.4495673
1,11,3.3240943
1,9,6.1365056
1,10,8.708125
1,10,2.9075153
1,10,6.5693817
1,9,7.920038
1,11,6.473546
1,9,7.1534863
1,9,7.427558
1,10,7.7030654
1,10,11.408443
1,9,8.150188
1,10,5.9258947
1,9,15.929973
1,10,4.9116006
1,9,4.689234
1,10,2.3965752
1,10,8.02096
1,9,7.1442957
1,10,2.9408839
1,9,15.862877
1,11,1.4521692
1,9,10.286451
1,9,5.5557904
1,9,7.2349577
1,4,7.7357254
1,11,4.971987
1,5,5.103197
1,11,4.480483
1,11,1.5766425
1,5,7.2504597
1,4,2.8685994
1,5,5.9050064
1,11,3.8640745
1,4,6.3045063
1,11,4.476225
1,4,6.0499926
1,4,6.7755146
1,4,3.8381057
1,5,3.4510427
1,4,5.3740396
1,11,0.016505003
1,11,5.022498
1,4,0.43436313
1,11,5.1508045
1,4,5.5908475
1,4,6.579055
1,5,6.553627
1,4,0.2800243
1,4,3.590186
1,11,4.967657
1,5,1.9363477
1,4,0.81784964
1,11,4.4299364
1,11,2.138803
1,11,0.03409338
1,4,1.3677413
1,4,6.1058507
1,11,3.5714478
1,4,5.041932
1,4,5.256317
1,5,6.925636
1,5,4.4468822
1,5,6.4697366
1,11,1.4166732
1,4,4.7519703
1,5,4.5613403
1,4,4.842107
1,4,0.8409085
1,11,2.348976
1,11,3.2020013
1,5,4.9942813
1,11,5.9654093
1,4,4.468356
1,4,7.2938395
1,5,6.199775
1,4,5.68221
1,5,6.592478
1,11,3.9106822
1,5,8.4106865
1,11,3.075066
1,11,4.1986465
1,11,4.6877947
1,11,1.8673773
1,4,0.908823
1,5,8.532415
1,5,5.002101
1,11,4.5834017
1,4,3.3131096
1,5,3.8561947
1,11,5.7037215
1,4,1.6658027
1,5,4.7615967
1,5,5.823252
1,5,6.3408136
1,11,1.3427622
1,11,1.3372207
1,4,6.937645
1,4,6.57088
1,11,3.907485
1,11,2.2877252
1,4,1.6079164
1,5,3.0739586
1,8,7.1840754
1,7,4.490254
1,6,8.390097
1,8,6.6971292
1,7,3.8591678
1,6,8.170546
1,8,3.0497088
1,6,7.5675573
1,6,8.410944
1,7,13.143606
1,7,9.4225645
1,8,14.952073
1,6,4.083261
1,6,8.896092
1,7,10.0419655
1,7,6.3072186
1,6,9.102738
1,8,2.1839128
1,8,9.569596
1,7,7.751925
1,6,6.486957
1,7,7.716116
1,8,9.626474
1,8,5.516645
1,8,5.2520185
1,7,5.4250956
1,6,7.460082
1,8,5.811998
1,6,4.9047413
1,8,8.268329
1,8,12.3431
1,7,7.6889205
1,6,7.2708488
1,7,17.578848
1,6,7.9435487
1,6,7.041253
1,6,6.602471
1,7,7.3763933
1,7,8.496265
1,7,8.751317
1,7,8.747601
1,8,11.742527
1,6,2.768165
1,8,7.582074
1,7,4.6869044
1,6,9.119196
1,6,7.5440226
1,7,4.225421
1,8,5.378356
1,6,0.96532106
1,7,7.507254
1,6,7.7590466
1,7,7.653192
1,8,9.614309
1,8,7.5674596
1,7,8.919001
1,7,7.0773706
1,8,8.1977625
1,8,7.5594106
1,6,6.0862885
1,8,7.621427
1,6,8.9033165
1,6,6.7116613
1,7,7.3628497
1,8,10.4658165
1,8,6.8168964
1,8,5.571852
1,6,8.414461
1,7,4.3208637
1,6,7.3209953
1,7,8.759423
1,8,8.014486
1,7,7.476206
1,7,7.357761
1,6,7.240283
1,6,7.8664494
1,7,5.4813323
1,6,7.7097435
1,6,6.6365747
1,7,6.031301
1,8,7.237344
1,7,8.713993
1,7,10.003898
1,8,10.401173
1,7,2.1294975
1,6,6.890004
1,12,2.5973263
1,12,0.11042857
1,1,2.8151855
1,12,1.6407142
1,2,3.4559195
1,1,2.127596
1,1,2.4188888
1,1,3.9750004
1,12,0.52439415
1,12,2.4228792
1,12,3.5735667
1,2,2.078668
1,12,3.1699047
1,2,0.7716949
1,2,3.492023
1,12,0.7978624
1,2,3.374513
1,1,1.4172943
1,2,2.2970035
1,1,1.3298218
1,12,0.90271616
1,1,0.5366373
1,1,1.7110851
1,2,1.7396077
1,12,3.8200996
1,12,1.4943547
1,1,2.878585
1,2,0.29091
1,1,0.78539574
1,12,0.6272831
1,12,1.3478284
1,2,3.223195
1,12,0.98628974
1,1,0.32604718
1,1,3.2488053
1,2,0.16786563
1,2,0.6024337
1,1,3.505907
1,12,0.3734529
1,1,1.332083
1,1,1.1370343
1,2,3.1404674
1,1,1.8958044
1,12,3.2039516
1,2,0.9849323
1,12,1.2699656
1,12,1.5143504
1,1,1.7028973
1,12,0.8217478
1,1,3.3249178
1,12,3.666012
1,2,1.7821176
1,12,1.3631132
1,12,0.23121119
1,1,4.678725
1,1,2.130903
1,12,2.9090726
1,2,2.4208987
1,2,4.155084
1,12,3.5949652
1,12,2.0526686
1,2,1.3078716
1,2,1.551726
1,2,3.5661712
1,2,4.5090847
1,2,0.07703304
1,1,2.115552
1,2,3.7432158
1,1,0.39231992
1,1,2.1935506
1,1,3.0634217
1,9,10.264232
1,10,10.949637
1,9,12.488752
1,10,12.881459
