epoch,month,error
1,10,233045.83
1,11,225389.58
1,11,114029.04
1,9,222179.27
1,9,142167.45
1,9,165684.39
1,10,297723.72
1,9,77506.68
1,10,21380.074
1,11,254096.98
1,11,264332.84
1,10,245663.72
1,9,321050.12
1,10,174995.23
1,10,205084.67
1,10,380726.5
1,10,188449.1
1,10,306137.1
1,10,170060.7
1,11,131790.94
1,11,244551.05
1,9,12595.678
1,11,377533.16
1,10,71765.12
1,11,49689.29
1,11,192076.75
1,10,375681.25
1,9,79333.81
1,11,374166.22
1,10,283193.94
1,9,176547.6
1,11,47991.93
1,11,396531.8
1,10,225616.2
1,11,151001.03
1,10,259342.47
1,10,327652.56
1,9,252894.62
1,10,347729.03
1,10,125465.32
1,9,174915.42
1,11,235572.12
1,11,97372.875
1,9,247949.0
1,10,253514.6
1,11,379853.9
1,9,151400.98
1,9,80793.11
1,10,170943.19
1,9,21388.37
1,10,303758.44
1,10,115480.06
1,10,338140.7
1,9,9706.872
1,9,203419.45
1,10,276951.94
1,10,107633.49
1,9,175852.27
1,10,175811.4
1,10,261037.45
1,10,380698.78
1,11,360825.0
1,11,24896.836
1,10,510563.0
1,9,179790.14
1,9,216436.73
1,9,206495.72
1,9,64539.008
1,5,70133.78
1,5,20210.469
1,5,58297.74
1,5,79801.89
1,5,346475.75
1,5,56235.05
1,11,264024.06
1,5,208754.8
1,5,306129.0
1,11,142773.78
1,11,103584.22
1,11,68849.49
1,11,293800.53
1,5,37872.984
1,11,127537.09
1,4,245723.73
1,5,121012.27
1,4,105263.82
1,11,100581.81
1,11,321311.72
1,5,255230.23
1,4,275732.0
1,11,177441.28
1,5,178392.0
1,4,127577.37
1,5,376262.72
1,4,221454.12
1,5,190840.44
1,5,432431.8
1,11,382788.12
1,5,117166.91
1,11,452097.62
1,4,79738.35
1,11,17623.072
1,11,401935.62
1,4,550098.94
1,11,262562.0
1,4,123196.586
1,4,135053.38
1,4,29278.754
1,11,378621.2
1,4,134489.33
1,4,320806.22
1,11,332833.34
1,4,405331.3
1,5,1428.1066
1,5,219591.86
1,5,123418.76
1,11,387636.34
1,11,308396.06
1,5,392937.53
1,11,344228.7
1,11,310965.97
1,4,405606.6
1,4,12842.749
1,11,191744.67
1,4,156096.67
1,4,273415.94
1,5,184140.67
1,4,202416.72
1,5,189676.33
1,11,237281.1
1,5,112517.11
1,4,299078.7
1,4,302735.06
1,5,415170.44
