epoch,month,error
1,9,17.594286
1,9,12.054267
1,9,15.156719
1,9,10.880376
1,10,11.397174
1,11,13.05648
1,10,9.431911
1,9,18.71493
1,9,13.85721
1,11,12.158911
1,10,12.055366
1,11,9.785821
1,11,10.829258
1,9,14.614353
1,10,15.972911
1,10,11.686292
1,9,15.401037
1,10,8.625534
1,11,10.133761
1,11,12.353333
1,11,7.6165066
1,11,8.375687
1,11,6.657264
1,11,8.8996935
1,11,10.34373
1,10,10.243014
1,11,4.4489937
1,10,12.156133
1,11,10.275477
1,10,9.583553
1,10,9.40277
1,10,14.3241415
1,10,13.6128025
1,11,10.109006
1,9,15.769532
1,10,13.783683
1,9,18.54427
1,9,17.493225
1,10,8.326688
1,9,12.708161
1,9,11.822652
1,9,17.684618
1,11,8.357124
1,11,7.251255
1,10,10.686634
1,9,13.179088
1,9,16.981052
1,9,14.234334
1,10,8.265318
1,9,11.286538
1,9,11.458476
1,10,7.8419414
1,11,7.3617086
1,9,12.142459
1,10,11.114424
1,9,18.262735
1,11,9.287414
1,10,11.780708
1,11,9.81538
1,10,12.601007
1,9,15.283607
1,10,18.037224
1,11,6.559666
1,11,7.663823
1,9,15.612124
1,9,11.291086
1,9,14.517596
1,9,12.2386675
1,4,7.0935545
1,4,9.505475
1,5,9.903056
1,5,6.10468
1,5,8.458103
1,5,8.103777
1,4,11.314742
1,5,12.304135
1,5,7.987565
1,11,3.9110255
1,5,10.300555
1,5,9.488624
1,4,7.1806645
1,11,3.2584157
1,4,8.585384
1,5,9.716726
1,11,3.8713965
1,4,7.6171265
1,4,9.138029
1,5,10.905353
1,11,6.9121437
1,4,7.879801
1,11,2.393137
1,5,11.088436
1,5,9.540566
1,11,4.9851174
1,4,7.209192
1,5,8.593362
1,5,12.342554
1,5,11.510834
1,4,8.8661785
1,11,2.9370584
1,11,6.6653795
1,11,3.501952
1,11,4.81911
1,11,5.165658
1,4,6.2630463
1,4,9.032889
1,4,10.22495
1,4,7.0986924
1,11,6.2024117
1,11,4.4692574
1,4,9.320096
1,5,7.6992073
1,4,7.2553
1,11,4.806619
1,5,9.918284
1,11,4.0674376
1,5,9.933929
1,4,6.821518
1,4,9.424881
1,11,5.841709
1,5,12.875949
1,5,12.993193
1,11,5.9364376
1,4,5.182308
1,5,14.773469
1,5,8.48674
1,4,7.6192975
1,11,5.2283316
1,5,6.1322265
1,5,10.468495
1,5,12.084992
1,11,7.0194573
1,11,6.8984776
1,5,10.108641
1,11,6.7007003
1,4,7.033685
1,4,8.883727
1,11,6.851192
1,11,5.2345037
1,7,15.767292
1,6,17.87696
1,8,9.491176
1,8,15.826201
1,8,14.732969
1,7,12.153519
1,7,13.387888
1,6,10.8090925
1,8,11.58018
1,6,14.346694
1,6,10.05797
1,7,17.996977
1,7,15.972265
1,8,16.20673
1,8,17.432896
1,6,13.291473
1,7,12.027112
1,7,19.829851
1,7,17.037077
1,6,6.349288
1,8,16.911173
1,7,13.169648
1,8,14.370635
1,6,11.372513
1,6,12.382899
1,6,14.751484
1,6,16.370392
1,7,17.934204
1,6,14.350523
1,8,13.200077
1,6,9.118877
1,6,12.074331
1,7,10.987489
1,8,13.041368
1,6,13.165794
1,8,15.812454
1,8,14.373804
1,8,10.018319
1,7,14.717085
1,8,13.622313
1,7,13.663603
1,7,19.073914
1,6,13.535368
1,6,13.875022
1,7,15.718031
1,7,16.622948
1,7,18.855545
1,6,7.6619225
1,7,15.482586
1,6,9.25042
1,8,12.525566
1,6,14.997319
1,6,14.966795
1,8,8.548803
1,8,13.924519
1,8,17.416796
1,8,20.43046
1,6,15.29798
1,7,11.548098
1,8,8.421801
1,7,12.600391
1,7,18.523403
1,7,16.037607
1,6,16.044643
1,6,15.514812
1,8,15.0926
1,8,18.67571
1,7,16.116196
1,7,18.373507
1,8,16.483727
1,7,11.755844
1,8,18.28365
1,6,13.664619
1,8,16.640295
1,8,19.585413
1,8,12.843353
1,12,1.9608837
1,2,3.8998551
1,12,2.6135616
1,2,2.7076337
1,12,1.5025498
1,2,1.6416739
1,1,0.17142558
1,12,1.2347376
1,12,7.335347
1,12,4.2527785
1,12,5.5306425
1,12,2.65413
1,1,2.9760118
1,2,4.6730013
1,2,1.8952427
1,2,2.7487607
1,1,3.7827017
1,2,4.402023
1,2,3.6285832
1,2,3.4076755
1,2,6.6541643
1,12,1.145401
1,2,3.189119
1,2,3.5217407
1,12,1.336242
1,12,2.3100128
1,1,2.867616
1,2,4.2482243
1,1,6.244168
1,12,5.227584
1,2,4.5628657
1,2,0.4398179
1,1,0.40771103
1,12,3.2906094
1,12,2.6145108
1,2,3.946962
1,2,2.4865282
1,1,0.99110174
1,2,2.3487754
1,12,2.8201714
1,1,0.33218145
1,1,0.22742033
1,12,1.5169163
1,1,2.1684146
1,2,4.327964
1,2,4.1384907
1,1,0.113713026
1,12,1.4150945
1,12,3.1959276
1,12,5.637926
1,12,6.101403
1,2,4.3267937
1,2,4.409239
1,1,3.499691
1,1,3.9534836
1,2,4.47987
1,1,2.3668373
1,1,3.759903
1,1,2.3032196
1,2,0.7841182
1,1,4.4534426
1,2,2.6622932
1,2,3.2556093
1,2,1.7491107
1,11,5.5803986
1,11,1.9997659
1,11,2.9790268
1,9,5.883236
1,10,10.116094
1,9,11.130747
1,9,3.9196358
1,11,4.0764446
1,9,7.664398
1,11,5.0966997
1,10,2.4646955
1,10,1.6755686
1,11,4.782671
