epoch,month,error
1,8,11.885374
1,2,6.5193534
1,5,10.562134
1,6,11.444845
1,11,6.3052583
1,9,12.153661
1,11,7.240606
1,8,11.110819
1,12,6.0798573
1,2,5.23503
1,10,10.691685
1,12,7.5795856
1,8,16.365196
1,9,15.396454
1,12,3.7020257
1,9,14.31398
1,10,11.9325905
1,12,7.0526986
1,1,3.7840228
1,5,9.740072
1,8,17.612303
1,5,9.019051
1,7,13.491393
1,4,7.613937
1,12,4.022083
1,5,10.393811
1,9,15.612406
1,11,9.893444
1,12,7.456632
1,6,12.804237
1,8,14.99335
1,1,3.8723183
1,7,16.77237
1,11,8.461282
1,12,5.1234035
1,1,4.3863926
1,5,10.022003
1,8,16.582623
1,10,14.179802
1,6,14.093222
1,10,14.058086
1,5,11.127291
1,9,15.299769
1,6,19.595234
1,11,6.7805877
1,10,17.199623
1,11,7.4040017
1,10,17.85559
1,11,7.3435626
1,10,20.479645
1,4,8.172844
1,5,10.059668
1,1,4.521839
1,4,11.330208
1,11,5.635073
1,10,13.185318
1,4,9.72494
1,5,11.036269
1,10,13.450779
1,7,21.06377
1,6,16.71799
1,4,7.7670302
1,5,10.38744
1,9,17.478664
1,10,15.564754
1,9,17.991318
1,11,9.17588
1,9,15.770339
1,1,3.9550047
1,11,10.633019
1,1,4.9817867
1,11,9.903001
1,5,14.188831
1,11,10.454297
1,4,9.143259
1,10,16.438297
1,4,8.370571
1,8,22.11579
1,9,18.525988
1,10,13.805053
1,7,19.226229
1,9,18.33012
1,10,15.65671
1,12,5.542334
1,8,21.672468
1,11,6.167784
1,12,6.968221
1,5,12.435545
1,10,14.411689
1,11,11.1315
1,11,10.061199
1,8,16.318562
1,11,13.114436
1,7,18.337303
1,10,14.751371
1,12,6.2087173
1,4,10.362948
1,2,4.4155607
1,11,6.7935443
1,8,19.958023
1,5,11.733209
1,7,20.88707
1,5,12.06807
1,6,16.05948
1,9,15.196957
1,2,4.9131665
1,5,12.055678
1,8,21.367886
1,12,6.573535
1,2,3.95156
1,5,11.324422
1,5,14.391845
1,6,21.328512
1,7,21.190273
1,8,23.539684
1,9,19.69332
1,2,4.2972217
1,1,5.3845735
1,11,8.583086
1,11,5.589592
1,6,20.524652
1,9,19.435287
1,4,8.343324
1,4,8.333563
1,9,11.8134575
1,10,11.431386
1,5,9.148286
1,11,8.929154
1,1,5.208891
1,10,10.55493
1,12,6.3604045
1,1,6.6493506
1,6,12.871708
1,2,4.972602
1,8,13.3588505
1,10,9.669416
1,6,14.1759815
1,11,7.6328783
1,7,13.670839
1,9,11.387718
1,11,5.9942513
1,9,10.932281
1,2,5.269556
1,8,12.726152
1,1,5.633854
1,8,10.595739
1,8,12.392354
1,9,10.424277
1,1,4.475579
1,11,8.758787
1,11,3.1646726
1,5,10.02594
1,4,10.294647
1,6,16.275124
1,7,14.858238
1,11,5.9335356
1,2,2.5698674
1,11,2.7835104
1,4,6.4408026
