epoch,month,error
1,8,13.095816
1,2,3.9075198
1,7,12.825707
1,8,11.237989
1,5,7.984454
1,11,6.7870064
1,11,6.121133
1,7,11.354179
1,9,10.186792
1,1,3.3384075
1,8,13.067804
1,9,12.068441
1,4,9.649046
1,10,9.9773445
1,11,7.4173574
1,4,9.221502
1,11,6.601668
1,11,8.116506
1,2,4.8696446
1,11,7.7190084
1,11,4.8914127
1,12,3.4582176
1,10,8.37649
1,7,13.467279
1,10,8.344877
1,2,1.1220658
1,5,8.498633
1,11,4.001115
1,10,10.298222
1,10,9.355582
1,5,9.79404
1,8,16.061136
1,9,13.430007
1,11,5.25385
1,5,4.886541
1,11,6.5236673
1,12,1.7890286
1,1,2.3836777
1,7,14.667618
1,2,1.1667888
1,7,15.985698
1,8,17.260006
1,6,13.344081
1,5,11.536802
1,9,21.054049
1,4,13.840226
1,11,8.207652
1,11,8.353148
1,1,7.092234
1,6,23.008907
1,1,5.583404
1,2,6.376295
1,11,7.8644433
1,4,12.109492
1,11,13.37428
1,11,9.9891205
1,4,15.051835
1,1,7.692341
1,6,23.440603
1,8,10.206622
1,6,7.910755
1,8,10.027677
1,4,6.3856645
1,11,6.9400735
1,1,5.5502934
1,5,8.101804
1,5,4.933212
1,5,8.677891
1,9,11.241865
1,6,8.009781
1,11,1.1951848
1,6,14.479702
1,1,0.506613
1,5,10.363634
1,9,11.248253
1,9,13.553746
1,11,5.731847
1,2,0.48466802
1,5,9.512066
1,5,11.737209
1,8,15.4248905
1,11,4.475455
1,12,4.836876
1,2,0.1413883
1,11,7.3122907
1,12,2.4780836
1,11,4.4106336
1,1,1.4707297
1,5,7.791515
1,11,4.154381
1,7,16.114122
1,9,10.477513
1,12,1.5614144
1,8,16.314417
1,9,13.461336
1,11,4.8991003
1,11,5.5509424
1,9,16.157648
1,4,8.855439
1,11,6.1030774
1,7,23.059914
1,4,11.451997
1,8,22.344526
1,12,7.1406794
1,2,3.9808593
1,1,6.6587563
1,4,9.67335
1,11,6.6160474
1,4,10.040651
1,5,14.2043705
1,5,11.769714
1,5,12.472458
1,1,5.354599
1,1,0.005871415
1,1,0.5597329
1,11,1.0502049
1,11,3.4198546
1,4,6.9063263
1,1,2.3553276
1,10,7.9750423
1,6,10.709871
1,5,6.712896
1,10,6.7599154
1,11,3.5967088
1,9,12.990436
1,2,4.9270477
1,5,8.281432
1,4,7.1088076
1,9,16.439793
1,12,4.5212107
1,1,4.8246193
1,10,14.396602
1,12,6.2203684
1,2,4.752496
1,6,16.67943
1,8,21.018494
1,11,4.666737
1,6,14.78458
1,11,8.487478
1,1,2.1983705
1,4,9.147609
1,10,13.579369
1,11,8.997656
1,12,4.600296
1,6,18.662361
1,7,23.927597
1,12,6.5922337
1,11,4.1490426
1,6,16.364586
1,2,5.7652593
1,7,20.174454
1,4,6.5876064
1,9,17.32719
1,12,5.911774
1,1,4.582726
1,2,5.78608
1,2,5.3272266
1,10,15.299618
1,12,5.1361895
1,2,3.9669583
1,6,13.591645
1,7,20.95705
1,8,21.21973
1,9,17.381912
1,2,4.48032
1,9,7.445857
1,12,2.9090004
1,10,8.603526
1,5,8.100309
1,7,9.670011
1,10,7.2690096
1,5,7.0109863
1,11,5.4281654
1,1,4.3705955
1,11,4.63421
1,7,9.884597
1,10,9.91335
1,11,5.0334888
1,9,10.971979
1,11,7.1264935
1,5,9.299178
1,11,7.711664
1,12,3.7613547
1,1,5.2900367
1,5,8.445779
1,11,6.844356
1,4,7.386077
1,8,11.955774
1,12,6.855023
1,11,6.190987
1,9,13.26127
1,11,8.841988
1,5,5.377313
1,2,0.5590028
1,11,1.5578339
1,10,1.6199305
1,10,2.097588
1,4,2.8784895
1,6,4.553916
1,7,7.9730735
1,2,2.1553233
1,11,1.6331568
1,4,0.7767881
1,8,6.2646255
1,9,3.5150447
1,1,1.9680744
1,8,6.306424
1,11,2.7564197
1,12,2.3473613
1,11,0.1447972
1,1,1.9204874
1,8,5.3119793
1,6,10.524405
1,10,15.09288
1,12,5.588994
1,1,5.7133765
1,6,12.394596
1,1,6.243521
1,5,11.159029
1,10,13.599535
1,6,14.5061035
1,7,20.796928
1,12,7.9939547
1,5,10.445894
1,8,11.900196
1,9,9.336555
1,12,2.640912
1,12,2.1035023
1,9,11.607055
1,6,7.1232095
1,7,11.064427
1,7,15.535535
1,12,2.426567
1,1,2.8800998
1,2,5.6132865
1,5,9.066982
1,2,1.8639402
1,11,5.2325106
1,6,16.690113
1,8,17.584114
1,12,3.7443662
1,6,14.777731
1,7,17.7214
1,7,18.553665
1,11,7.215267
1,7,17.55975
1,11,4.4309196
1,7,11.408342
1,11,5.3474984
1,2,4.697523
1,5,14.409368
1,9,13.960118
1,4,7.3521004
1,8,19.656153
1,11,6.0962048
1,12,5.6473675
1,7,16.283564
1,5,1.4428086
1,2,1.038788
1,11,2.0585928
1,5,4.922227
1,12,0.22520304
1,8,4.391944
1,11,0.6192639
