epoch,month,error
1,8,14.203008
1,12,3.4748218
1,10,12.125975
1,2,4.830022
1,5,9.354238
1,11,5.9721885
1,4,9.537922
1,11,7.005045
1,7,12.78136
1,9,13.363419
1,10,9.592614
1,1,4.865519
1,4,8.95989
1,8,13.182565
1,9,13.557552
1,10,9.913912
1,11,7.8451304
1,4,11.008017
1,10,9.830035
1,11,6.678414
1,11,7.499198
1,2,4.738738
1,11,8.134062
1,12,5.0533442
1,11,2.1257944
1,10,9.3057995
1,7,12.111951
1,10,9.106556
1,2,1.5535895
1,5,8.774082
1,4,4.769833
1,5,6.647852
1,10,8.741737
1,5,7.575412
1,8,16.393263
1,7,16.505453
1,9,13.206454
1,11,5.1727915
1,5,6.4354844
1,1,1.6417032
1,8,12.7716255
1,11,5.952362
1,12,2.1943312
1,1,3.0855882
1,2,2.6752346
1,11,10.0377
1,7,15.183654
1,2,3.2697039
1,8,17.485924
1,5,14.018264
1,9,21.395176
1,4,12.415604
1,11,7.3246436
1,11,9.484131
1,11,14.546162
1,1,5.5545382
1,11,12.575301
1,2,6.8477197
1,11,7.91926
1,4,12.023441
1,5,18.76943
1,11,10.393017
1,4,16.652521
1,8,25.892399
1,6,23.971296
1,8,8.956856
1,11,5.0747
1,8,8.3287525
1,10,6.837909
1,9,9.134895
1,11,5.9413176
1,1,4.849484
1,4,7.360391
1,5,6.7153354
1,5,4.812546
1,9,9.380734
1,2,5.694764
1,9,8.0384865
1,6,8.736969
1,11,1.0257472
1,6,12.469204
1,10,9.232842
1,1,0.3380866
1,11,4.8149877
1,5,9.85287
1,2,1.6557112
1,5,11.754791
1,5,12.450586
1,7,15.884652
1,8,17.423199
1,10,7.599209
1,11,4.642375
1,12,3.250964
1,2,0.36386573
1,7,18.40704
1,9,12.325615
1,11,5.0224385
1,12,2.7088094
1,9,12.079582
1,11,3.8045745
1,1,0.015513897
1,6,14.486264
1,11,4.729907
1,7,16.406029
1,9,11.567379
1,12,3.5229225
1,2,1.6731164
1,8,16.963007
1,9,13.509387
1,11,5.162493
1,4,8.285479
1,9,18.068502
1,4,9.360172
1,11,5.2620597
1,7,21.357464
1,4,11.086265
1,8,23.03588
1,12,7.0391293
1,2,4.3153725
1,1,7.84126
1,4,7.873792
1,11,6.5967817
1,4,11.290303
1,5,11.698105
1,5,12.946634
1,1,6.186698
1,1,0.74012935
1,2,1.4977927
1,1,0.007016659
1,11,0.07906175
1,4,4.2672
1,1,1.0854678
1,10,7.34303
1,6,8.935913
1,5,5.2363467
1,10,6.4264374
1,9,9.945295
1,11,2.3062022
1,9,12.625023
1,2,3.011022
1,5,7.3120337
1,4,6.2680135
1,9,16.754696
1,12,4.8567924
1,1,4.023393
1,10,14.039664
1,12,5.7298374
1,2,4.513202
1,6,16.602634
1,8,21.882246
1,11,3.4372356
1,11,8.920208
1,1,2.0165834
1,4,8.850954
1,10,11.815533
1,12,6.0478363
1,6,19.192173
1,12,6.4578075
1,11,4.0752068
1,6,14.7829075
1,12,5.6270914
1,2,6.4209685
1,7,20.98368
1,4,7.676305
1,9,17.58172
1,12,5.243409
1,1,5.638935
1,2,2.5221694
1,2,5.39145
1,2,5.337585
1,6,14.604577
1,7,20.251423
1,8,20.656857
1,9,16.715944
1,11,4.9561195
1,2,4.517421
1,10,7.4794836
1,12,1.9453096
1,10,8.544688
1,5,8.694424
1,10,6.934923
1,12,3.133377
1,5,7.2344427
1,6,7.6136856
1,11,6.4521823
1,1,4.605096
1,11,4.1393304
1,7,10.816204
1,8,11.692775
1,10,10.16756
1,11,4.827822
1,9,10.159418
1,11,6.708556
1,11,8.278633
1,1,5.0932493
1,12,6.6975093
1,11,6.8740582
1,9,11.261776
1,11,9.26109
1,5,5.2149425
1,2,0.6177948
1,11,0.42707765
1,10,3.6500592
1,11,1.0713229
1,12,0.09014462
1,5,5.0817547
1,2,3.107072
1,4,1.4469784
1,7,8.157829
1,2,0.29772857
1,11,0.9740437
1,4,0.61994505
1,8,6.963139
1,1,1.6549013
1,11,1.6241161
1,12,1.6982869
1,11,0.71292126
1,1,0.88517237
1,8,8.142803
1,10,15.472711
1,12,6.7226195
1,1,5.8918514
1,1,7.075464
1,5,11.106262
1,10,14.042973
1,11,7.1469646
1,6,14.679467
1,7,16.010014
1,7,21.471636
1,12,8.071869
1,11,5.718061
1,2,6.2925777
1,5,11.011587
1,9,11.003829
1,8,11.645622
1,10,8.917193
1,12,5.279429
1,12,3.92692
1,9,12.117501
1,6,9.696066
1,7,16.292637
1,12,3.3001516
1,1,5.90918
1,11,6.591256
1,2,6.2649426
1,5,8.968606
1,2,4.5322285
1,11,6.429876
1,4,10.578138
1,6,16.865376
1,7,17.470089
1,8,17.95367
1,12,4.1874676
1,6,15.589779
1,1,4.5576386
1,7,19.328793
1,8,17.465565
1,6,14.521043
1,7,17.594122
1,11,5.5607195
1,7,10.557484
1,11,6.2918744
1,2,4.3360853
1,5,13.531751
1,9,14.95452
1,4,6.665508
1,8,18.756172
1,12,5.3957157
1,7,15.265358
1,11,0.4932922
1,5,0.35943982
1,2,0.52816737
1,11,0.60947967
1,11,0.884905
1,11,1.4748391
1,5,3.233198
1,11,0.56140304
1,2,1.6853256
1,2,0.15061414
1,4,0.56935716
1,10,4.965989
1,2,0.89877534
1,6,3.6678019
1,6,14.260664
1,11,4.1929436
1,9,16.49767
1,4,9.482426
1,2,2.5933418
1,6,15.046396
1,5,14.1904545
1,5,10.071908
1,6,12.144779
1,8,16.816023
1,12,4.9409657
1,1,4.452656
1,9,17.744091
1,11,10.751718
1,1,4.8955054
1,2,5.1451907
1,11,6.115955
1,12,5.4221087
1,11,6.950425
1,8,16.687431
1,12,5.165336
