epoch,month,error
1,8,12.72915
1,10,9.924029
1,2,4.409556
1,7,12.864101
1,8,10.980396
1,5,9.970558
1,11,6.779492
1,4,9.820297
1,4,6.7944956
1,7,12.7955475
1,9,8.82657
1,1,1.9181877
1,4,9.009816
1,8,12.850788
1,9,10.321297
1,4,8.659724
1,10,8.960973
1,11,7.795107
1,4,9.675054
1,10,9.949451
1,11,6.4645095
1,2,5.4610515
1,11,7.558824
1,2,4.9388113
1,11,7.066994
1,11,5.4286456
1,12,2.6325166
1,11,3.9292397
1,10,6.8165913
1,7,13.058768
1,10,7.281885
1,2,2.084946
1,5,8.096029
1,4,4.486497
1,11,3.1328669
1,10,8.022736
1,5,7.8289337
1,10,8.607579
1,5,6.445601
1,8,14.898923
1,7,15.970951
1,11,4.063707
1,1,0.53716314
1,8,11.67161
1,11,5.289547
1,12,4.085578
1,1,0.9850333
1,11,8.089239
1,7,14.153107
1,2,1.1212943
1,8,16.306793
1,6,13.459244
1,5,12.810759
1,9,20.83601
1,4,12.356618
1,11,7.6362147
1,11,8.208952
1,11,12.747484
1,1,6.332267
1,11,11.856722
1,1,6.604582
1,2,5.7204375
1,11,6.704583
1,5,17.03694
1,11,11.248342
1,4,14.030013
1,8,23.762304
1,1,6.1595488
1,6,21.657244
1,7,24.641426
1,8,9.736924
1,11,6.654726
1,8,9.319766
1,10,8.271712
1,9,7.100628
1,1,5.4563375
1,5,8.036072
1,9,9.394717
1,2,2.5771637
1,5,7.59201
1,9,7.6017714
1,6,10.061932
1,11,1.697187
1,6,9.511628
1,10,10.022859
1,1,1.6829984
1,11,3.6362877
1,5,8.573883
1,9,10.237263
1,11,0.8905847
1,9,10.863102
1,11,4.7369666
1,2,1.772414
1,4,7.805122
1,5,11.148406
1,8,16.680172
1,10,8.7724695
1,11,2.8118205
1,12,1.0512326
1,7,15.524399
1,9,13.044337
1,11,3.862753
1,9,13.226225
1,11,5.387887
1,1,1.9689779
1,5,9.076373
1,6,11.750183
1,11,2.0132565
1,9,12.549282
1,12,2.6606226
1,8,15.388707
1,9,14.68652
1,11,5.8049927
1,5,13.690471
1,11,6.060151
1,4,9.411964
1,9,18.06087
1,4,9.877921
1,11,7.6100774
1,7,23.30159
1,4,11.263563
1,8,23.748915
1,12,6.774663
1,4,6.415224
1,11,7.5494328
1,5,10.328983
1,5,11.731042
1,5,13.838092
1,1,4.6315365
1,1,0.13036013
1,2,1.1147588
1,1,0.03258562
1,11,1.654091
1,11,3.562144
1,4,4.1449385
1,1,2.374669
1,10,7.0688467
1,6,11.044652
1,5,4.0607667
1,9,9.710748
1,11,3.17309
1,9,12.326327
1,2,1.8106759
1,5,8.496636
1,4,6.077613
1,9,16.539639
1,12,3.8506374
1,1,3.6597474
1,10,13.890193
1,12,7.3410525
1,2,2.073182
1,8,20.331833
1,11,5.431862
1,6,13.497875
1,11,9.069774
1,4,9.75683
1,10,11.764654
1,11,8.805912
1,1,3.621674
1,6,18.80139
1,7,22.118132
1,12,5.611578
1,11,4.894208
1,6,14.318328
1,7,21.313034
1,12,4.8445826
1,2,4.3395534
