epoch,month,error
1,8,13.681685
1,2,7.115788
1,11,7.454896
1,6,11.279688
1,9,11.34337
1,11,6.851232
1,8,12.613628
1,12,5.7669535
1,2,5.238716
1,12,6.482593
1,9,15.522765
1,1,3.8509226
1,8,15.360472
1,9,13.815738
1,10,13.715721
1,12,5.5943623
1,1,4.631022
1,11,4.600642
1,5,11.128203
1,8,17.695759
1,11,4.3258924
1,5,10.173523
1,7,13.476334
1,8,16.439604
1,4,7.793414
1,5,10.817455
1,11,10.361869
1,12,6.9588223
1,6,12.010117
1,8,16.78941
1,7,17.087547
1,11,13.341171
1,12,5.4387207
1,5,10.471645
1,8,14.320001
1,10,12.2538805
1,2,3.596694
1,6,15.321403
1,10,14.133217
1,5,11.676132
1,8,18.517744
1,9,16.892744
1,6,18.485266
1,11,6.7531214
1,11,7.907448
1,11,7.616769
1,8,24.513628
1,10,19.487604
1,4,9.554177
1,5,12.338469
1,1,5.231303
1,4,11.3088045
1,11,6.9369006
1,10,13.123002
1,4,9.319193
1,5,12.1377735
1,10,13.438416
1,7,21.169292
1,10,15.58121
1,6,19.399158
1,4,9.3121805
1,5,11.217539
1,9,18.916447
1,10,14.978317
1,10,15.620544
1,9,17.802809
1,11,8.307347
1,9,15.474541
1,1,4.880048
1,11,8.317884
1,5,11.2864275
1,4,8.857437
1,10,14.258393
1,4,8.178922
1,9,18.007286
1,10,13.618495
1,7,19.673363
1,9,17.813229
1,10,12.229804
1,12,6.809208
1,8,21.585468
1,11,6.8138447
1,7,22.748049
1,10,17.745766
1,12,7.482058
1,2,4.792328
1,5,10.21316
1,7,22.2521
1,10,14.172752
1,6,16.845463
1,9,20.403883
1,5,9.545879
1,11,9.661508
1,7,18.54995
1,2,4.3973875
1,11,4.9261684
1,8,17.149899
1,5,11.108606
1,8,20.287512
1,9,20.382406
1,11,11.122327
1,5,11.976738
1,6,15.107122
1,8,20.397308
1,9,16.457596
1,2,4.367959
1,12,7.062073
1,5,10.791883
1,1,1.9480424
1,5,14.404075
1,6,20.10605
1,8,24.102112
1,9,20.025661
1,2,5.643902
1,9,18.56341
1,1,5.371191
1,6,16.839403
1,11,5.897962
1,6,19.913588
1,4,7.4296236
1,4,9.4457445
1,9,11.377313
1,5,8.900116
1,1,4.806861
1,10,9.292815
1,12,5.7214174
1,1,5.7893786
1,6,13.272426
1,2,3.2763145
1,8,12.03868
1,10,9.684637
1,12,6.737704
1,6,12.978374
1,11,7.418189
1,9,11.408499
1,11,7.157275
1,9,11.793157
1,2,4.822344
1,8,12.54317
1,8,10.278746
1,9,10.3016405
1,1,5.6764207
1,11,7.396858
1,5,8.441526
1,4,10.230303
1,7,16.336191
1,11,7.5015326
1,11,5.585828
1,4,9.193507
