epoch,month,error
1,8,13.212183
1,12,2.924221
1,10,11.695537
1,8,11.117919
1,5,9.360783
1,11,6.0211716
1,4,9.224797
1,4,9.249769
1,9,11.398695
1,10,10.081266
1,1,3.7620099
1,8,12.766247
1,9,13.002073
1,4,11.364487
1,11,8.065335
1,4,10.073781
1,10,9.911189
1,2,6.4062147
1,2,5.406142
1,11,9.402773
1,11,4.323597
1,10,7.3367734
1,7,12.778178
1,10,6.997575
1,2,2.413532
1,5,9.59035
1,11,5.7012157
1,10,9.9963255
1,5,6.7208023
1,10,9.637371
1,8,15.135158
1,7,17.282806
1,9,12.975389
1,11,5.946199
1,5,6.8559084
1,11,6.216728
1,12,4.803318
1,1,3.6676748
1,2,5.2500625
1,11,9.137385
1,7,15.393759
1,2,3.6505244
1,7,17.736437
1,8,17.196484
1,6,13.485019
1,9,22.122828
1,4,14.395901
1,11,7.8465385
1,11,8.363782
1,1,6.806377
1,6,23.806204
1,1,6.662256
1,2,6.778238
1,11,7.7014513
1,4,13.302399
1,5,19.031961
1,11,10.137637
1,4,14.819626
1,8,24.450214
1,6,23.588821
1,7,27.857607
1,8,9.579369
1,11,6.7414618
1,6,10.99092
1,8,10.407274
1,10,7.734718
1,4,8.148834
1,9,9.870644
1,11,6.5037317
1,1,6.6556573
1,4,7.752651
1,5,8.670159
1,9,10.730218
1,2,5.6888733
1,5,9.85797
1,9,11.047809
1,6,12.4005
1,10,10.380699
1,11,4.0413847
1,5,11.693919
1,9,12.106868
1,11,4.277458
1,9,13.058934
1,11,5.853896
1,2,3.545888
1,4,7.808825
1,5,11.793884
1,7,18.4901
1,8,16.974411
1,10,8.375176
1,11,5.2696886
1,2,0.7987793
1,7,17.568539
1,11,6.7522283
1,12,3.828544
1,9,13.625959
1,11,5.4495406
1,1,0.75498533
1,6,15.489362
1,11,5.047522
1,7,16.897306
1,12,3.4263158
1,2,2.905485
1,8,16.604246
1,11,6.520031
1,5,14.759151
1,11,6.3985972
1,4,9.866641
1,4,10.938209
1,12,9.042077
1,7,22.89622
1,4,12.281873
1,12,6.597841
1,2,5.841291
1,1,7.561212
1,11,7.685624
1,5,13.947524
1,5,13.850436
1,2,2.9787343
1,11,2.6939318
1,11,5.4598584
1,4,5.940968
1,1,2.7850702
1,10,9.7209835
1,6,12.046268
1,5,7.3358755
1,10,8.720831
1,9,11.629599
1,9,13.146241
1,2,4.589108
