epoch,month,error
1,12,4.7841115
1,10,10.928377
1,2,4.40338
1,7,12.794543
1,8,12.595932
1,5,10.771463
1,11,7.972523
1,11,5.90238
1,4,9.562775
1,7,13.058746
1,9,11.911655
1,10,10.955516
1,1,5.543309
1,8,12.599454
1,9,11.338273
1,4,10.185518
1,10,9.742363
1,11,7.216925
1,4,9.270428
1,10,10.02813
1,11,7.267346
1,11,8.69007
1,11,7.2476816
1,11,7.7793727
1,12,4.6206665
1,11,4.699739
1,10,7.800033
1,7,12.87226
1,10,7.556306
1,2,3.5316758
1,4,5.6433682
1,11,4.6196327
1,10,10.41886
1,5,8.089501
1,10,9.3674555
1,5,9.531103
1,8,15.085015
1,7,17.023962
1,9,13.989607
1,11,5.31777
1,5,7.598717
1,8,14.74131
1,11,5.410146
1,1,2.461116
1,2,5.213603
1,11,8.933158
1,7,14.766962
1,2,4.3340354
1,7,16.582245
1,8,16.785887
1,6,12.49552
1,5,11.904645
1,9,22.215649
1,4,12.1374855
1,11,7.5584245
1,11,6.797954
1,11,13.122991
1,6,23.734873
1,11,11.725845
1,1,7.5555587
1,2,5.469933
1,11,7.471394
1,4,12.043741
1,5,18.354254
1,11,15.097457
1,4,13.233127
1,8,24.10816
1,1,6.6935525
1,7,27.291058
1,8,10.5315895
1,11,6.418468
1,6,10.302744
1,8,9.721705
1,4,7.711613
1,9,9.094158
1,11,6.5997806
1,1,5.5481415
1,4,8.024669
1,5,7.9549346
1,5,8.323607
1,9,9.736329
1,2,6.5388227
1,5,10.044348
1,9,9.822168
1,6,10.71573
1,11,2.3639302
1,6,13.276653
1,10,10.349816
1,11,4.973447
1,5,10.847075
1,9,13.069321
1,11,3.6049366
1,9,13.837344
1,11,5.5470543
1,2,2.8555994
1,5,11.909576
1,7,18.36452
1,10,9.690725
1,12,4.6549573
1,7,18.852879
1,9,13.272651
1,11,5.5615916
1,12,3.5277216
1,9,13.274344
1,11,5.2881885
1,1,1.1358336
1,5,9.445203
1,6,15.653082
1,7,17.286745
1,12,2.2104993
1,2,2.2480958
1,8,16.438173
1,9,14.468104
1,11,5.2167764
1,5,14.730437
1,11,7.3031282
1,4,8.79674
1,9,18.622782
1,4,10.331795
1,12,7.300362
1,11,6.5737762
1,4,11.176206
1,8,23.417322
1,12,7.5753713
1,2,5.622837
1,1,7.4379444
1,4,12.261704
1,5,13.2516775
1,5,12.433601
1,1,1.8244156
1,2,1.0710355
1,1,2.0119307
1,11,1.9500458
1,4,6.1759515
1,1,1.9997257
1,6,12.496473
1,5,7.6078587
1,10,7.011136
1,11,3.7077239
1,2,4.142861
1,5,7.944104
1,12,5.5311337
1,1,5.503389
1,12,7.556944
1,2,3.941197
1,6,17.604095
1,8,22.24069
1,11,6.2955513
1,11,9.642272
1,1,2.9392164
1,4,10.01008
1,10,14.636857
1,11,8.643553
1,12,6.5749307
1,1,5.05704
1,6,20.177845
1,7,21.509485
1,11,5.4471397
1,6,16.48895
1,7,22.29648
1,2,6.2702203
1,7,21.902315
1,4,7.9921303
1,1,4.857447
1,2,5.7896457
1,1,6.003176
1,2,4.9264803
1,10,15.90004
1,12,5.9743485
1,2,6.8484087
1,6,17.055964
1,7,20.016954
1,8,22.597832
1,9,19.709879
1,11,6.1016145
1,9,10.368926
1,10,7.4634657
1,12,4.6467996
1,5,9.364931
1,7,10.623674
1,10,7.946305
1,5,8.796562
1,6,10.729536
1,11,7.624939
1,1,4.2670302
1,11,5.631004
1,8,12.271642
1,10,9.017397
1,11,5.9166455
1,9,11.79926
1,11,7.1048675
1,5,9.729971
1,11,8.075762
1,1,5.621702
1,11,6.2397404
1,8,12.991929
1,12,6.860666
1,9,12.65162
1,11,10.6049
1,11,1.630753
1,10,4.288921
1,11,1.2452952
1,12,0.8934214
1,5,6.051719
1,2,0.23139727
1,4,1.8410519
1,6,6.353762
1,7,7.922515
1,10,2.740597
1,11,0.04387194
1,8,6.647601
1,9,6.654613
1,1,1.0032915
1,8,7.6955705
1,11,0.77197766
1,12,0.33966866
1,11,1.3574704
1,1,0.18717882
1,8,8.989085
1,6,13.62569
1,10,15.781983
1,12,7.6799154
1,1,6.2863626
1,6,13.394225
1,1,6.350489
1,5,12.800399
1,10,16.271431
1,11,6.4185243
1,6,16.168224
1,7,22.631956
1,12,7.6063366
1,11,7.5258
1,2,7.2982244
1,5,12.730165
1,9,10.866176
1,8,12.67571
1,9,9.934337
1,10,9.523728
1,12,4.078336
1,9,12.560234
1,6,10.296256
1,7,13.67702
1,7,17.119867
1,12,3.7990146
1,1,6.4359775
1,11,8.027117
1,2,6.307825
1,2,5.9578404
1,11,7.04512
1,4,10.080402
1,7,19.062145
1,8,17.894377
1,12,5.8802357
1,6,16.28291
1,7,19.502563
1,7,19.767216
1,8,18.318054
1,11,7.6541886
1,6,15.748218
1,7,17.633812
1,11,5.1658535
1,7,15.279291
1,11,5.171997
1,5,14.855699
1,9,13.995438
1,8,20.18997
1,11,6.8775845
1,12,5.0580473
1,7,15.407097
1,5,3.7645926
1,2,1.9445333
1,11,2.5852735
1,1,1.3935502
1,5,3.243352
1,12,0.32575893
1,11,2.4740698
1,12,1.8046566
1,2,0.9259752
1,4,2.3173165
1,10,5.247935
1,2,0.35355914
1,6,4.5168624
1,6,16.066502
1,11,5.5074115
1,4,10.09078
1,2,2.8451438
1,6,15.89316
1,5,15.072621
1,5,8.606804
1,6,12.868235
1,8,18.667397
1,12,6.1578703
1,1,6.0061746
1,9,16.098083
1,11,10.589317
1,1,5.313364
1,2,3.9238858
1,11,6.8174944
1,12,8.399459
1,11,6.135495
1,1,4.1102543
1,4,8.407408
1,5,12.483816
1,6,16.401497
1,1,4.9867706
1,5,9.662151
1,7,19.965042
1,9,16.898823
1,12,7.331391
1,2,4.9403605
1,4,9.17133
1,6,15.548031
1,9,19.23184
1,10,12.411932
1,12,5.461204
1,5,9.505229
1,6,15.445376
1,8,15.860391
1,11,9.070263
1,2,2.6211257
1,8,21.12362
1,2,5.7391467
1,7,19.080956
1,9,20.258596
1,11,10.4437275
1,4,9.412622
1,11,1.8596166
1,1,3.1672955
1,7,14.007426
1,8,14.264948
1,10,10.211411
1,2,2.990666
1,5,10.231279
1,7,15.218297
1,6,17.55741
1,10,8.611657
1,8,17.020754
1,12,4.5136733
1,2,4.748391
1,12,2.9587307
1,5,13.670082
1,6,15.764408
1,7,18.902128
1,6,16.682459
1,12,8.030007
1,2,4.588196
1,7,16.985184
1,8,17.16632
1,11,4.9319963
1,8,17.726313
1,10,7.135943
1,12,1.3407449
1,1,2.2290897
1,2,1.0533748
1,12,2.5289307
1,6,13.650843
1,1,0.27178097
1,12,1.3832712
1,6,17.828253
1,7,18.062899
1,11,4.0796533
1,2,5.1904798
1,8,20.05017
1,5,14.809132
1,6,20.190002
1,8,20.43961
1,9,16.252192
1,11,9.349456
1,1,4.4560437
1,11,6.4369926
1,5,14.844892
1,8,19.318285
1,10,11.761428
1,2,7.2643156
1,5,12.546556
1,9,17.49742
1,12,7.3880587
1,4,10.862903
1,9,17.074219
1,1,6.985395
1,5,16.883339
1,10,14.680583
1,8,20.147284
1,12,5.552661
1,11,6.408702
1,5,14.880579
1,10,11.7634115
1,4,11.4376745
1,6,16.556702
1,8,18.034966
1,12,4.282872
1,5,15.825867
1,7,19.983301
1,1,6.330607
1,11,8.846768
1,7,19.652475
1,9,16.352509
1,5,6.2886457
1,8,9.73978
1,11,4.5831666
1,1,3.69809
1,8,9.50462
1,9,7.371554
1,2,3.1521225
1,4,4.1934185
1,1,5.4990435
1,6,8.928697
1,6,7.805831
1,7,8.532523
1,8,8.298364
1,9,7.687997
1,9,8.173585
1,1,3.5710504
1,8,10.452938
1,6,9.566481
1,12,0.41733515
1,9,12.442638
1,11,2.1996968
1,5,9.685812
1,6,17.433823
1,7,15.86709
1,8,16.046135
1,2,1.2014884
1,5,12.744964
1,10,8.290598
1,1,1.6684855
1,12,1.5694859
1,11,1.7148194
1,8,11.807166
1,12,1.343123
1,1,0.61386883
1,8,16.814337
1,7,16.313288
1,12,1.9003842
1,5,9.159951
1,6,13.504398
1,7,15.279452
1,9,10.711839
1,10,11.407352
1,11,6.662388
1,11,8.182313
1,5,10.796907
1,6,16.198883
1,8,15.70632
1,9,15.9869175
1,6,19.817116
1,11,5.118726
1,6,14.185878
1,6,15.439412
1,2,4.048189
1,7,15.265907
1,9,14.478092
1,10,10.455789
1,10,11.967638
1,2,4.830779
1,5,12.819807
1,6,12.5544615
1,4,9.343952
1,6,11.76424
1,5,12.134542
1,4,5.0857525
1,11,4.1016774
1,7,13.204972
1,2,1.7869551
1,5,9.673962
1,8,17.580576
1,4,5.602977
1,6,12.3515
1,9,11.490722
1,12,2.311111
1,11,5.6707354
1,5,7.677554
1,8,12.818639
1,10,11.114083
1,12,1.0870934
1,11,1.4269707
1,4,0.98054624
1,11,2.5170279
1,10,1.5657854
1,12,0.22727206
1,8,1.6793119
1,11,0.6821475
1,2,1.374788
1,10,0.23085856
1,1,4.0825224
1,2,3.9715548
1,7,14.264649
1,10,12.085067
1,5,8.474235
1,11,7.7374544
1,11,4.077334
1,4,5.361046
1,2,5.270701
1,4,4.5954885
1,5,9.748697
1,11,9.286645
1,12,6.4804354
1,1,5.7598534
1,8,15.066003
1,9,15.18943
1,9,15.177807
1,4,7.5226207
1,9,16.588875
1,1,4.567879
1,10,13.204023
1,12,4.608321
1,11,5.261528
1,4,8.582114
1,9,16.941135
1,9,17.89991
1,4,8.735855
1,11,4.371828
1,8,15.131475
1,11,7.1706038
1,4,8.686682
1,7,19.655046
1,4,10.840286
1,11,4.8194213
1,1,2.9730368
1,4,6.521703
1,9,18.108616
1,5,10.886656
1,10,12.469307
1,11,9.876463
1,12,6.5837617
1,2,3.4238899
1,5,9.571018
1,11,6.367509
1,4,8.616502
1,9,19.264961
1,10,12.4040365
1,12,6.4312315
1,4,7.6378136
1,8,21.504091
1,7,16.118294
1,12,5.0557857
1,5,9.700618
1,12,6.487723
1,2,3.0792441
1,5,7.8039474
1,11,5.2410293
1,6,15.7362175
1,11,5.2758718
1,10,10.985756
1,8,15.083394
1,7,17.583076
1,8,16.833916
1,1,5.3405285
1,11,5.710493
1,8,14.158802
1,12,6.350122
1,6,17.385508
1,1,4.393734
1,10,14.077107
1,9,9.095736
1,12,2.0888195
1,2,3.1885583
1,8,6.6134415
1,8,5.9778724
1,10,6.570726
1,12,1.2732801
1,2,4.9104137
1,12,3.9395773
1,12,2.7546146
1,1,0.45404363
1,11,3.6585686
1,9,6.598419
1,11,5.104532
1,6,8.298957
1,8,7.325869
1,9,7.0750685
1,10,4.829135
1,6,7.5000668
1,6,6.7922916
1,7,5.9856997
1,10,7.329793
1,2,0.5088352
1,11,4.4129415
1,11,3.9378119
1,7,7.398457
1,6,10.240954
1,11,3.7502995
1,11,5.155404
1,4,3.9480634
1,6,14.494751
1,7,15.0863695
1,1,0.6588319
1,12,0.07503462
1,1,1.5490422
1,6,11.424424
1,6,15.123118
1,6,8.864515
1,11,5.986788
1,2,4.1557894
1,10,9.326342
1,11,2.9806213
1,2,5.22114
1,11,7.3106318
1,6,8.883503
1,9,9.515829
1,5,9.211582
1,10,8.906694
1,2,2.5331216
1,7,12.040667
1,1,3.416828
1,10,7.1853914
1,8,11.818205
1,11,7.913949
1,7,10.314513
1,11,3.541601
1,11,4.7087717
1,2,2.1339793
1,11,5.7280846
1,7,12.504485
1,1,0.6077578
1,2,0.06468129
1,1,2.5735404
1,2,2.708157
1,4,5.6303606
1,11,4.2586155
1,11,5.003764
1,5,8.472698
1,1,2.4562507
1,7,13.056134
1,9,14.236984
1,10,6.8597765
1,12,2.2234032
1,7,15.35619
1,9,8.974855
1,10,7.02526
1,9,11.767564
1,12,0.665678
1,2,4.351577
1,9,11.259708
1,11,3.8131003
1,4,6.8602877
1,7,13.459578
1,10,8.258729
1,7,12.998638
1,9,11.134665
1,1,0.30763745
1,4,7.328858
1,9,12.052073
1,7,16.560522
1,9,11.275965
1,11,6.084096
1,11,6.943318
1,2,1.1810105
1,11,4.113727
1,2,4.868335
1,2,6.0343604
1,7,16.225342
1,8,18.520992
1,9,13.966959
1,5,12.610146
1,9,12.942021
1,5,2.1463661
1,10,3.6397426
1,5,4.729594
1,1,0.9071207
1,5,7.6737866
1,8,4.3871794
1,6,5.6105866
1,6,4.9418263
1,9,7.3921432
1,11,1.4675827
1,11,0.7522507
1,6,5.3786817
1,8,5.37099
1,11,5.9342656
1,7,7.885622
1,11,3.2752824
1,5,7.876228
1,8,6.3860626
1,12,0.13819909
1,4,5.0331535
1,7,7.9452143
1,2,1.352118
1,11,2.3569922
1,2,2.1261907
1,4,5.393984
1,6,7.2722435
1,1,3.4349852
1,2,0.2081716
1,10,5.1978593
1,5,7.7366333
1,5,4.3516817
